date,portfolio,spy,turnover,cap_bench
2014-01-03,-0.0018632146239346684,0.0009807494380384973,1.0,-0.0018632146239346684
2014-01-10,0.006115965948265176,0.005607748216865938,0.008435257807013551,0.006115965948265176
2014-01-17,-0.028837963898012027,-0.030535875150479064,0.003745304423875033,-0.028837963898012027
2014-01-24,-0.0073380477043554545,-0.0060871374771429565,0.0033504598491809535,-0.0073380477043554545
2014-01-31,0.007516217871371465,0.009720087742194572,0.002623053180193345,0.007516217871371462
2014-02-07,0.024538688643148978,0.024930668710116066,0.0065051932550847435,0.02453868864314897
2014-02-14,-0.003016621993894574,0.0005430665821897218,0.008413624925573265,-0.0030166219938945744
2014-02-21,0.0024093798482531965,0.0020078798649338925,0.023191682014582604,0.0024093798482531965
2014-02-28,0.01991861803865097,0.01797982493847816,0.0345313342234931,0.01991861803865097
2014-03-07,-0.011587032229831823,-0.012661497376871944,0.013489913197567482,-0.011587032229831819
2014-03-14,0.013575294422119048,0.011178466426415845,0.0019604662077737363,0.013575294422119044
2014-03-21,0.00043033831578798387,-0.0009098036135900545,0.003215098158306142,0.000430338315787984
2014-03-28,-0.004257433377623948,-0.0038571390993048515,0.004408191789188106,-0.004257433377623948
2014-04-04,-0.014450279516455842,-0.016241016713449352,0.0038425519057994173,-0.014450279516455842
2014-04-11,0.019131216231578964,0.019187966654461874,0.0028389602140555556,0.019131216231578964
2014-04-17,0.0035142797358940657,0.003271643148283543,0.002548025591809458,0.0035142797358940657
2014-04-25,-0.0003509541260702305,0.0004811298803213404,0.003311397789266049,-0.00035095412607023054
2014-05-02,0.008286473780523926,0.008870840073313069,0.003424542157055143,0.008286473780523926
2014-05-09,-0.006464679780638762,-0.005879873110128386,0.004163733678758787,-0.006464679780638762
2014-05-16,0.01658732163469644,0.01795558891084026,0.00194393317066464,0.01658732163469644
2014-05-23,0.01037131284817023,0.009891867617929373,0.0020047774526217362,0.01037131284817023
2014-05-30,0.012377215230979425,0.012438609140451362,0.0016374107336326017,0.012377215230979425
2014-06-06,-0.007723946984241979,-0.007473867301120984,0.0014503360670698154,-0.007723946984241979
2014-06-13,0.01508518538422796,0.01567482477772142,0.0017892268710530631,0.01508518538422796
2014-06-20,-0.0013715298286939566,-0.0014802153037695165,0.0017317293444603264,-0.0013715298286939566
2014-06-27,0.009625341796494411,0.010833257287082843,0.0022668360461497315,0.009625341796494411
2014-07-03,-4.9766056468608656e-05,-0.0010614547413927422,0.0067120509363110675,-4.976605646860868e-05
2014-07-11,-0.0025936869990698013,-0.0026316219809646713,0.0034347924731695364,-0.0025936869990698013
2014-07-18,0.0028717635544784213,0.003399277710233628,0.0023327607151627334,0.002871763554478421
2014-07-25,-0.02386910483605957,-0.0247266284218971,0.0019236922167484877,-0.02386910483605957
2014-08-01,0.006626699093465066,0.005703121885452855,0.0020536136181544817,0.006626699093465066
2014-08-08,0.014233262248555556,0.014589666855430394,0.0021888860276533294,0.014233262248555556
2014-08-15,0.01842961857559725,0.016971721477745394,0.003075131323976522,0.01842961857559725
2014-08-22,0.004863818340108411,0.004147478976654462,0.0015022366898216496,0.004863818340108409
2014-08-29,-0.001074714343455524,-0.00024915415121051776,0.0015268991868076067,-0.0010747143434555238
2014-09-05,-0.0073021060313501664,-0.008759609946745184,0.0018282048577113004,-0.0073021060313501664
2014-09-12,0.011695786488432067,0.010677350109065564,0.001953363732775028,0.011695786488432067
2014-09-19,-0.019451530116705328,-0.020713703015208473,0.0016679154956505495,-0.019451530116705328
2014-09-26,0.006025112543401976,0.005810286578771917,0.0032843938481378703,0.006025112543401976
2014-10-03,-0.03212378762529242,-0.03486355128952878,0.0023818220911872214,-0.03212378762529242
2014-10-10,-0.01208653812998099,-0.012233443509093722,0.0020925860743634945,-0.01208653812998099
2014-10-17,0.03974224014333272,0.04039762710872008,0.003379898028522991,0.03974224014333272
2014-10-24,0.03098258942331419,0.03162507366183043,0.00340535308081512,0.030982589423314184
2014-10-31,0.009202511466704602,0.0072306763022038645,0.007583242510470331,0.009202511466704602
2014-11-07,0.0021997185345851316,0.002310752252757231,0.002581527706555163,0.0021997185345851316
2014-11-14,0.016320683856078457,0.016286729355165175,0.0023474957250248576,0.01632068385607845
2014-11-21,-0.0016075879434214446,-0.003716986377493958,0.002191337174613941,-0.0016075879434214446
2014-11-28,0.005804300077835746,0.005426501592957544,0.002540911657062314,0.005804300077835746
2014-12-05,-0.026148727792633282,-0.026696324469996258,0.003728695530554149,-0.02614872779263328
2014-12-12,0.02642112338603352,0.029265790854805518,0.002747911997071247,0.02642112338603352
2014-12-19,0.007617382342050892,0.007109920032118744,0.003415021600863299,0.007617382342050892
2014-12-26,-0.017770071716348528,-0.019450468800230825,0.003018845351340122,-0.017770071716348528
2015-01-02,0.0016564546836042378,0.0011754141838924426,0.002743837305118767,0.0016564546836042378
2015-01-09,-0.012916826654830085,-0.009833180602252134,0.1267790782202086,-0.01166578335233866
2015-01-16,0.012846982502183637,0.011413176325973273,0.004332545846765469,0.010905340009492498
2015-01-23,-0.020406218593263054,-0.022764003244841402,0.00470667061962652,-0.022771714478600075
2015-01-30,0.02158008327210504,0.023594294198349797,0.012450942906435919,0.02205128595645209
2015-02-06,0.02329716179517999,0.02261058995640619,0.014283334381229662,0.02177393054625595
2015-02-13,0.009656863095337823,0.007354495014653795,0.01632172356991783,0.008635720996097473
2015-02-20,-0.0013482994504183006,-0.0007584871619588096,0.02405714965820585,-0.001082880551929527
2015-02-27,-0.015090302405816018,-0.01442281141308055,0.04258818402045364,-0.015283492690168972
2015-03-06,-0.005703860258252311,-0.0049578456201170296,0.016799706792418954,-0.0044498806741828986
2015-03-13,0.023942155515123423,0.022491523157258886,0.004730164223776185,0.022734999872218546
2015-03-20,-0.017160930270429413,-0.016348185611048338,0.00430601179044181,-0.017109292476010847
2015-03-27,-0.008134558261287462,-0.0077787147600412165,0.007025246965767956,-0.00757554625942987
2015-04-02,0.023006711079005593,0.021911782681876657,0.007514029496039942,0.02162099570173377
2015-04-10,-0.004991879201477243,-0.0038595502131117954,0.0045785188177303315,-0.004098892457318896
2015-04-17,0.015446840879551038,0.015641623655729076,0.004409125728154435,0.015282398823232832
2015-04-24,-0.005615094070330966,-0.005180857769808922,0.03456926019566092,-0.004029927636330486
2015-05-01,0.0033829152063023097,0.0016099503682451832,0.03809327841364932,0.0035168781838293716
2015-05-08,0.005183074465169948,0.0031666820963283104,0.04937934426690768,0.004568602811319881
2015-05-15,0.0015120378066691314,0.0007537913159980647,0.011411452049173869,0.00013711543649686352
2015-05-22,-0.0037824247847545816,-0.002165844366504799,0.004055975933541424,-0.0034002551779834297
2015-05-29,-0.00999704514982927,-0.010852153037368195,0.003311438370694307,-0.009977780823485249
2015-06-05,-0.004853609791252185,-0.004769976797219133,0.0031202178555032913,-0.00410939257493644
2015-06-12,0.01970539231657842,0.02061347335536312,0.005784403520197438,0.018712970176770868
2015-06-19,-0.01887511580723442,-0.018215334920369086,0.0027036004233721026,-0.018155203780714578
2015-06-26,-0.01163277863689029,-0.010958709904081876,0.006372604094667217,-0.0118750596135343
2015-07-02,0.016661549992009902,0.015648141279571703,0.0024276035401794814,0.01668535824464059
2015-07-10,0.015733023306730185,0.017991275370191184,0.0044839943522205095,0.015132778693319615
2015-07-17,-0.027865233624274323,-0.027308994416004317,0.00655468790989245,-0.026476199819199374
2015-07-24,0.019555578067286812,0.01700995022520746,0.019454195315469876,0.018632943701363303
2015-07-31,-0.0039034961182858726,-0.005606732574340412,0.037025839429184436,-0.003365159739745382
2015-08-07,-0.002613210201807214,-0.002723628427231284,0.03565830506087657,-0.0025008817950326213
2015-08-14,-0.10961618670485822,-0.10167207872989803,0.015327907640229734,-0.10860846334277352
2015-08-21,0.06768136897486746,0.05664272576211382,0.011101147758490151,0.06473022473936255
2015-08-28,-0.011683304241800386,-0.010953377452165958,0.010561090483868043,-0.012207797754691866
2015-09-04,0.008344696774524686,0.005154433943347803,0.005991084361489216,0.005800936166973643
2015-09-11,0.0017877210863283869,0.0025957819044104546,0.004272407780532057,0.002650682573666776
2015-09-18,-0.021410169535755252,-0.023721998728823968,0.0041191154906798635,-0.02158690458138055
2015-09-25,0.01846318557449124,0.024403183242853288,0.003746967994049254,0.02161184418216126
2015-10-02,0.024947994579168964,0.02524684452510817,0.0028184175745290217,0.025387738729085937
2015-10-09,0.004296481649190781,0.0053616840588111,0.00909590187200087,0.004223940224875297
2015-10-16,0.02692094203225323,0.023703652118759022,0.003932689360852195,0.026712384132003088
2015-10-23,0.004257276057760617,0.004920567900126738,0.022467114799743615,0.0031905270068539686
2015-10-30,0.005396995551420642,0.004752392760212887,0.030948572646732304,0.006015119443349265
2015-11-06,-0.034872808190227714,-0.03339546286128292,0.04733788327702166,-0.03381214934831713
2015-11-13,0.036577599436282214,0.03489516832293105,0.01784676743695182,0.03421722822502562
2015-11-20,0.0013652397298096477,0.0017668890715587526,0.007846049847843078,0.001952636780947052
2015-11-27,-0.00040290993897524474,-0.0024791074365732024,0.004540541247349186,-0.0017036858773569993
2015-12-04,-0.035002502026875694,-0.03422067665774531,0.003923519557152576,-0.03412887907900224
2015-12-11,0.004427685039813896,0.0026658756581150467,0.003434406452101334,0.004110499407945826
2015-12-18,0.015692406750499262,0.017129104340145807,0.004045880925324831,0.016444700429272
2015-12-24,-0.021742974035481217,-0.021331623347135675,0.0032866019780121813,-0.020859965440586506
2015-12-31,-0.03985277289462753,-0.03730827477825194,0.00433034883316186,-0.03997555168521279
2016-01-08,-0.01478608077207768,-0.015802405926388263,0.0057960915040999456,-0.014703039582459299
2016-01-15,-0.001375425312003276,-0.00021093493507828853,0.24938569462742718,0.0005747829015486297
2016-01-22,0.016600619672753305,0.013742768747036838,0.037238690902671796,0.014358948500119779
2016-01-29,-0.03500750184395176,-0.03511144950303191,0.09774970648453776,-0.036321435204761846
2016-02-05,0.017057359478444927,0.016149082515775515,0.05275743659918778,0.01742762866286068
2016-02-12,0.022258461080369604,0.027017149308550037,0.04538891396847172,0.023098174749952245
2016-02-19,0.008759104164028298,0.006395869926382414,0.02933809165077162,0.008243759100453817
2016-02-26,0.022756410464413842,0.021680526275458023,0.04554280880848831,0.02331480752159185
2016-03-04,0.014551187389980708,0.01414630319990029,0.026990696454124788,0.013830861949606938
2016-03-11,0.017188750195385686,0.014654461512819017,0.006561952976744327,0.01607575299921568
2016-03-18,-0.0031792576410443873,-0.0022543543844324443,0.006168929796759555,-0.0024160647243450357
2016-03-24,0.01683503715049709,0.015814746611499064,0.0045018072435400805,0.017440581774998434
2016-04-01,-0.008140138426911463,-0.007639269808705107,0.01092318343665944,-0.008221676321384814
2016-04-08,0.010852569627644295,0.012326608282234197,0.004039779936863991,0.011208959168851087
2016-04-15,0.005034001108327015,0.002310119522806353,0.005483891972882331,0.003581730320946103
2016-04-22,-0.006489932435198134,-0.006434184782096564,0.05530598709107378,-0.006608413558955016
2016-04-29,-0.00538959451491969,-0.006524122310317071,0.07886133197735856,-0.005347976233929061
2016-05-06,-0.003210036788944529,-0.0029674707300496594,0.04360140401928447,-0.004140192254814401
2016-05-13,0.0022170064261027543,0.002683172391090727,0.03760375787414473,0.002045724427122825
2016-05-20,0.025136994072848223,0.024572992455718312,0.01740345578222985,0.02457735319736483
2016-05-27,-0.00027420516355048985,0.0006649249713386318,0.02678945800801717,-0.0001971492958341582
2016-06-03,-0.007263184723475158,-0.006359661649736448,0.008087877079051505,-0.006136650078433076
2016-06-10,0.0025958820832269096,0.0026075036502626325,0.005494208394197083,0.0031796020540160383
2016-06-17,-0.03355340169587578,-0.03462268248691036,0.006953456363127243,-0.0335230762217049
2016-06-24,0.038859794213673714,0.03650948475837157,0.009975031728872836,0.03891746712102048
