date,portfolio,ew_members,spy,turnover
2014-01-03,,,,0.0
2014-01-10,,,,0.0
2014-01-17,,,,0.0
2014-01-24,,,,0.0
2014-01-31,,,,0.0
2014-02-07,,,,0.0
2014-02-14,,,,0.0
2014-02-21,,,,0.0
2014-02-28,,,,0.0
2014-03-07,,,,0.0
2014-03-14,,,,0.0
2014-03-21,,,,0.0
2014-03-28,,,,0.0
2014-04-04,,,,0.0
2014-04-11,,,,0.0
2014-04-17,,,,0.0
2014-04-25,,,,0.0
2014-05-02,,,,0.0
2014-05-09,,,,0.0
2014-05-16,,,,0.0
2014-05-23,,,,0.0
2014-05-30,,,,0.0
2014-06-06,,,,0.0
2014-06-13,,,,0.0
2014-06-20,,,,0.0
2014-06-27,,,,0.0
2014-07-03,,,,0.0
2014-07-11,,,,0.0
2014-07-18,,,,0.0
2014-07-25,,,,0.0
2014-08-01,,,,0.0
2014-08-08,,,,0.0
2014-08-15,,,,0.0
2014-08-22,,,,0.0
2014-08-29,,,,0.0
2014-09-05,,,,0.0
2014-09-12,,,,0.0
2014-09-19,,,,0.0
2014-09-26,,,,0.0
2014-10-03,,,,0.0
2014-10-10,,,,0.0
2014-10-17,,,,0.0
2014-10-24,,,,0.0
2014-10-31,,,,0.0
2014-11-07,,,,0.0
2014-11-14,,,,0.0
2014-11-21,,,,0.0
2014-11-28,,,,0.0
2014-12-05,,,,0.0
2014-12-12,,,,0.0
2014-12-19,,,,0.0
2014-12-26,,,,0.0
2015-01-02,,,,0.0
2015-01-09,-0.013308059886713979,-0.009691573256327218,-0.009833180602252134,1.0
2015-01-16,0.018088787530817968,0.010491177725781958,0.011413176325973273,0.0
2015-01-23,-0.01047058764469001,-0.019302990538101458,-0.022764003244841402,0.0
2015-01-30,0.025689989016390375,0.02660503826535316,0.023594294198349797,0.02
2015-02-06,0.02672427888807196,0.02164131645257433,0.02261058995640619,0.02
2015-02-13,0.005846692364884975,0.009429506252114571,0.007354495014653795,0.02
2015-02-20,-0.0008394880481819998,-0.0018110197146771615,-0.0007584871619588096,0.06
2015-02-27,-0.022875981607656113,-0.015968926002451637,-0.01442281141308055,0.14
2015-03-06,-0.008043569312960021,-0.0021224850577643835,-0.0049578456201170296,0.04
2015-03-13,0.0350990479165563,0.0255284748347235,0.022491523157258886,0.04
2015-03-20,-0.016794643525639776,-0.015145956281053148,-0.016348185611048338,0.0
2015-03-27,-0.005935616545842129,-0.0035232436267838064,-0.0077787147600412165,0.0
2015-04-02,0.024186233476327885,0.017690046044465123,0.021911782681876657,0.0
2015-04-10,0.002210205441741244,-0.003542155332471039,-0.0038595502131117954,0.04
2015-04-17,0.014176710935954052,0.01072318065838446,0.015641623655729076,0.0
2015-04-24,-0.0014027387188926,-0.005876089048264189,-0.005180857769808922,0.1
2015-05-01,-0.0006616847974836768,0.0018993253904074647,0.0016099503682451832,0.14
2015-05-08,0.006264362652938523,0.003911400940077392,0.0031666820963283104,0.16
2015-05-15,-0.0029551525105791505,0.00042397381286520973,0.0007537913159980647,0.06
2015-05-22,-0.0005568131845684875,-0.005036978644709343,-0.002165844366504799,0.04
2015-05-29,-0.013794069014570937,-0.009255279849992325,-0.010852153037368195,0.0
2015-06-05,-0.012173016056974224,-0.005457035454954161,-0.004769976797219133,0.0
2015-06-12,0.025672538577442828,0.021185642953766456,0.02061347335536312,0.02
2015-06-19,-0.02437381507728887,-0.02011543703979701,-0.018215334920369086,0.02
2015-06-26,-0.012550632571992366,-0.012684246527355586,-0.010958709904081876,0.0
2015-07-02,0.013870738428019922,0.014665168383103118,0.015648141279571703,0.0
2015-07-10,0.009982868130901205,0.005556907582581867,0.017991275370191184,0.0
2015-07-17,-0.02199050747341428,-0.02585588885354394,-0.027308994416004317,0.02
2015-07-24,0.02250911678927959,0.02089527916166111,0.01700995022520746,0.06
2015-07-31,-0.0012533248960945186,-0.0017172528737210318,-0.005606732574340412,0.06
2015-08-07,-0.0008078249764790854,0.0006063864948781977,-0.002723628427231284,0.2
2015-08-14,-0.10853191194625533,-0.09939319052675231,-0.10167207872989803,0.04
2015-08-21,0.06423044825120822,0.056719727599231995,0.05664272576211382,0.02
2015-08-28,-0.002869283596332712,-0.01157665493924171,-0.010953377452165958,0.0
2015-09-04,0.01090654305137649,0.0026189406868331894,0.005154433943347803,0.02
2015-09-11,-0.00011925989811039091,0.003946723020852682,0.0025957819044104546,0.02
2015-09-18,-0.03761874967118956,-0.028258018859672867,-0.023721998728823968,0.0
2015-09-25,0.01689732209538713,0.021393614801890302,0.024403183242853288,0.02
2015-10-02,0.02882978198430844,0.03192677709386814,0.02524684452510817,0.0
2015-10-09,-9.945390699445774e-05,-0.0034017299939651663,0.0053616840588111,0.02
2015-10-16,0.026211889670387567,0.017530589049715696,0.023703652118759022,0.0
2015-10-23,0.00748221870337538,0.0022544152132786834,0.004920567900126738,0.04
2015-10-30,0.00662251276919231,0.005665125055911835,0.004752392760212887,0.06
2015-11-06,-0.03929706766049691,-0.036668099061304874,-0.03339546286128292,0.14
2015-11-13,0.036970271790230255,0.03334076659318517,0.03489516832293105,0.1
2015-11-20,0.006536658092298684,0.0062143691407981145,0.0017668890715587526,0.0
2015-11-27,-0.0039038122388781993,-0.009444281609345793,-0.0024791074365732024,0.04
2015-12-04,-0.03633020730327288,-0.03619574546338725,-0.03422067665774531,0.0
2015-12-11,0.0047934696527046,0.0003559272936096218,0.0026658756581150467,0.0
2015-12-18,0.02071599810524992,0.02367111666242627,0.017129104340145807,0.0
2015-12-24,-0.025179000572183984,-0.02073778317862602,-0.021331623347135675,0.0
2015-12-31,-0.04760173546794624,-0.04342899812270668,-0.03730827477825194,0.0
2016-01-08,-0.02724774041605059,-0.02279833791111446,-0.015802405926388263,0.0
2016-01-15,0.004501926951141594,0.0006110248597745307,-0.00021093493507828853,0.88
2016-01-22,0.020472019902412843,0.018584329429333628,0.013742768747036838,0.04
2016-01-29,-0.037715594791811774,-0.02761219051386026,-0.03511144950303191,0.16
2016-02-05,0.01648041179827794,0.009376071259157891,0.016149082515775515,0.34
2016-02-12,0.03037092640031598,0.03195462652757742,0.027017149308550037,0.18
2016-02-19,0.01947956612871282,0.01511754049074151,0.006395869926382414,0.04
2016-02-26,0.03253354259921185,0.03359133609787022,0.021680526275458023,0.1
2016-03-04,0.019267215007028687,0.01625047149598661,0.01414630319990029,0.08
2016-03-11,0.017636647907617473,0.01905741558740669,0.014654461512819017,0.0
2016-03-18,-0.006783500241288722,-0.007688337893456016,-0.0022543543844324443,0.0
2016-03-24,0.01488204291507754,0.01734815848308154,0.015814746611499064,0.0
2016-04-01,-0.008950269768955785,-0.012006303411432542,-0.007639269808705107,0.0
2016-04-08,0.005427165088973165,0.01240805190625563,0.012326608282234197,0.0
2016-04-15,0.00573735758500288,0.010066595548656852,0.002310119522806353,0.02
2016-04-22,-0.013601329470177318,-0.002840592804433775,-0.006434184782096564,0.08
2016-04-29,-0.01309153967972182,-0.008395250300426897,-0.006524122310317071,0.26
2016-05-06,-0.00241719050807367,-0.007086925133769417,-0.0029674707300496594,0.2
